name;description
BNP PARIBAS;"Lavorare in un grande Gruppo multinazionale significa ricevere quotidianamente stimoli e opportunità di conoscenza ampi e diversificati. Valorizziamo le differenze tra i colleghi per creare un ambiente di lavoro che favorisca l'espressione del potenziale di ognuno, offrendo un futuro di crescita professionale fondato sul merito e sull'eccellenza individuale all'interno del Gruppo BNP Paribas. 
Amiamo lavorare con persone capaci di impegnarsi a trasmettere e condividere il loro talento, la loro ambizione, la loro energia. Ciò che offriamo ai nostri candidati è molto di più che un lavoro: una possibilità concreta di crescita individuale all'interno di un nostro team internazionale. "
Goldenpoint;Quello di Goldenpoint ha un ambiente dinamico e internazionale. 
Bosch;"Investiamo molto su laureandi e neolaureati, in particolare nelle aree di ingegneria, economia e nelle discipline umanistiche. Se stai frequentando un percorso universitario, o ti sei appena laureato, ti offriamo l’opportunità di svolgere stage o tirocini formativi all’interno di una delle società del Gruppo, coinvolgendoti fin da subito in progetti interessanti e integrandoti nelle attività quotidiane di un vero team di lavoro. Le aree di inserimento sono molte e diversificate: ricerca e sviluppo, produzione, acquisti, logistica, marketing, controllo di gestione, risorse umane, contabilità, vendite, IT. 
Da te ci aspettiamo un ottimo background accademico, sensibilità multiculturale, conoscenza della lingua inglese. Inoltre, apprezziamo la curiosità, il teamworking e la flessibilità. Ma soprattutto cerchiamo passione. Se ti riconosci in queste caratteristiche, non esitare a candidarti per Bosch."
Luxottica;In Luxottica Group you will find a dynamic and distinctly international environment, where young brilliant people will have the opportunity to take part into inter-functional projects, while facing a challenging market in constant evolution.
Unilever;In Unilever potrai costruire il tuo percorso professionale, lavorando su brand differenti e con i migliori talenti. Internship: è una vera e propria esperienza sul campo. Attraverso il supporto del tutor aziendale, lo stagiaire avrà la possibilità di collaborare alla gestione di un progetto, conoscere le dinamiche aziendali e relazionarsi con il management. Le offerte di internship vengono gestite in collaborazione con le più prestigiose Università nazionali e le più qualificate Business School. La partecipazione ai Career Day e Job Fair sono per noi un prezioso canale di reclutamento. Unilever Future Leader Programme (UFLP): è un programma di sviluppo cross-functional, strutturato in tre anni, per formare i futuri manager di Unilever.
Employerland;We are a young, innovative start-up purely focused on innovation and new technology. Those who work with us find an atmosphere which is young and informal with a team that is oriented on our goals and those of our customers who are both the players and the companies in the game. Our rapid development is only possible with the development of the people who work with us that enable us every day to explore new projects and new ideas
Johnson & Johnson;"Per i laureandi/neolaureati interessati a confrontarsi con un contesto aziendale dinamico ed internazionale, J&J offre l’opportunità di realizzare stage curriculari e post lauream. 
Lo stage è il canale privilegiato per un efficace ingresso in azienda: ha la durata di sei mesi ed è previsto un rimborso spese, la mensa aziendale e l’utilizzo delle attrezzature sportive.
Ad ogni stageur viene affiancato un tutor aziendale, responsabile della pianificazione di attività e compiti e della formazione della risorsa che avviene principalmente on the job.
I nostri Programmi di sviluppo di leadership (LDP) consentono uno sviluppo professionale accelerato in una vasta gamma di discipline per studenti con un elevato potenziale."
Elica;"I percorsi professionali sono ricchi e variegati, conseguenza di un ambiente in continua evoluzione e fortemente orientato allo sviluppo. Il costante investimento in formazione e affiancamento garantiscono crescita personale e professionale.
Siamo convinti che lo stage sia il canale d’ingresso ottimale: permette di mettersi alla prova su progetti specifici sperimentando attitudini e passioni sul campo, con il supporto continuo di tutor interni. Per facilitare il percorso di inserimento in azienda, offriamo ad ogni stagista, oltre al rimborso spese mensile, la possibilità di usufruire gratuitamente della mensa, della palestra aziendale e, per chi arriva da fuori regione, di un alloggio gratuito."
T-Connect;"We are involved in several research projects, supporting national and European partners in researching new technologies and developing innovative software applications.
Our customers, universities, research centres and SMEs, demands our services to design, develop and integrate the latest telecommunication technologies like mesh, ad-hoc, wireless sensor networks inside their projects. High knowledge of embedded systems, mobile operative systems (Android, iOs, Symbian) and enterprise application frameworks completes the range of services offered by T-Connect."
MSD Italia;"Da sempre dediti a coltivare il talento, ti offriamo la reale opportunità di metterti alla prova grazie ad internships di valore. Molti hanno iniziato la loro carriera professionale in MSD Italia grazie ad uno stage e, attualmente, ricoprono ruoli di primo piano in Azienda. L’apprendimento e lo sviluppo professionale sono critici al nostro successo, per questo ci impegniamo a rendere disponibile un ambiente di lavoro nel quale a ciascuno è data l’opportunità di raggiungere il proprio pieno potenziale. 
Sin da subito verrai coinvolto nelle attività aziendali, anche quelle di lungo respiro, e ti verrà chiesto di contribuire concretamente alla realizzazione di diversi progetti con un approccio proattivo.

Ti accompagneranno nella tua crescita professionale, ma sarai tu il protagonista!
"
Istarter;"Flexible hours

An open minded and dynamic culture

Varied, interesting projects

Responsibility

Exposure to investors and top managers"
MSD UK;MSD Italia is dedicated to nurturing young talent, and offers the opportunity to improve through internship experiences. You can seize the chance and take a new important step toward the realization of your personal ambitions. While working you will be given the opportunity to understand where your ideal position is and what you like the most. Many MSD Italia employees started their career by undertaking an internship and are now holding important posts in the company. Professional learning and development are crucial to achieving success in our company. From the very beginning, you will be involved in work activities, where you will be able to offer your own contributions and act as a leading character.
Poste Italiane;Poste Italiane è una realtà dinamica che cambia ed evolve per competere su numerosi mercati: finanziario e assicurativo, logistico, delle telecomunicazioni, dei servizi di certificazione e di comunicazione digitale, del pagamento e del commercio elettronico, della gestione documentale, dell’e-Government, dell’e-Procurement, della sicurezza informatica, dell’outsourcing dei processi documentali. Poche altre aziende nel panorama nazionale possono offrire l’opportunità di confrontarsi con una così ampia gamma di prodotti e servizi.
ADS;"Formazione Retribuita: Un mese di training tecnico intensivo retribuito 

Prospettive Future: Puoi cominciare a lavorare in ADS con contratto di apprendistato

Knowledge Sharing: Acquisisci know-how da tecnici e PM di ADS con forte esperienza sul campo

Con i giganti dell’ICT: Puoi lavorare per i maggiori players italiani dell’Information Technology

Team Giovane e Dinamico: Entri nella squadra più affiatata e giovane di tutto il comparto ICT Italiano – 28 anni di media

Un’Azienda in Ascesa: ADS è nella ""Tecnology Fast 500"" del ranking Deloitte"
Città della sicurezza;"Per il progetto Città della Sicurezza stiamo offrendo a tutti i nostri dipendenti un ambiente di ""training"" innovativo accessibile da smartphone e tablet sia per dispositivi Android che Ios."
Findomestic Banca spa;"Entrare in Findomestic significa anche condividere e rafforzare ogni giorno con i propri comportamenti i nostri valori condivisi da tutto il gruppo PARIBAS:

REATTIVITÀ - Essere rapidi nella valutazione delle situazioni e delle evoluzioni così come nell'identificazione delle opportunità. Essere efficienti nelle azioni e nel prendere decisioni

IMPEGNO - Essere impegnati nel servizio al cliente e nel successo della collettività. Essere esemplari nei comportamenti

CREATIVITÀ - Promuovere le iniziative e le nuove idee. Saper distinguere i loro autori

IMPEGNO - Gusto della sfida e della leadership. Volontà di vincere in equipe una gara il cui l’arbitro è il cliente "
OBI ITALIA;Lavorare in OBI significa entrare in un'azienda che offre uno strutturato percorso di formazione in ingresso e che prevede importanti progetti di sviluppo e molteplici percorsi di carriera. OBI è caratterizzata da un forte orientamento alla persona, con grande attenzione sia al servizio al cliente che allo sviluppo professionale e personale dei collaboratori.
